Symbol,Date,Open,High,Low,Close,Volume,Premarket High,Morning High,Outstanding Shares,Market Cap,GAP%
SAEX,2016-10-25,10.57,11.67,7.79,7.95,8067609,11.48,11.67,9340000,98723800,41.31
BPMX,2016-10-26,0.39,0.39,0.27,0.28,523357,0.43,0.39,32909999,12834899.61,39.29
OGXI,2016-10-26,0.54,0.7,0.5,0.55,13169243,0.55,0.702,30010000,16115370,44.94
IMNP,2016-10-27,0.29,0.3,0.24,0.26,19721895,0.335,0.2961,101580000,29458200,56.76
PRQR,2016-10-27,8.5,8.7,5.8,6.15,3138598,8.8,8.7,23350000,198475000,38.21
ATRC,2016-10-28,18.75,18.85,17.29,17.68,1189490,18.2,18.85,33200000,622500000,23.4
IFMI,2016-11-01,1.49,1.49,1.17,1.18,233257,1.3,1.49,12110000,18043900,43.27
OCLS,2016-11-01,5.55,5.65,4.8,5.04,1551547,6.35,5.65,4200000,23310000,38.75
EGRX,2016-11-02,70.8,71.65,66.8,68.1,1971235,71.75,71.65,15640000,1107312000,23.69
OPGN,2016-11-02,1.24,1.24,1,1.03,362393,1.12,1.24,21690000,26895600,24
PTN,2016-11-02,0.75,0.75,0.5,0.57,30768157,1.03,0.75,85930000,64447500,54.89
IQNT,2016-11-03,22.56,22.87,22.45,22.58,5654707,23.17,22.8725,34230000,772228800,34.77
MPG,2016-11-03,19.65,20.6,19.2,19.2,4316088,19.9,20.6,67250000,1321462500,37.41
STAF,2016-11-03,1,1,0.8,0.87,147804,0.8801,1,9890000,9890000,25.31
TLOG,2016-11-03,0.15,0.17,0.07,0.11,5934898,0.2,0.169,24770000,3767517,21.68
XENT,2016-11-03,10.15,10.19,8.75,9.25,2255361,10.15,10.185,28450000,288767500,21.56
CBK,2016-11-04,1.51,1.69,1.46,1.47,2377401,1.51,1.69,37240000,56232400,24.79
DCTH,2016-11-04,2.48,3.27,1.76,1.76,2935104,2.25,3.27,1950000,4836000,45.88
RATE,2016-11-04,9.25,9.9,7.9,8.4,2382976,8.85,9.9,90270000,834997500,28.47
ALBO,2016-11-07,19,20,15.5,17.48,60568,19.25,20,2120000,40280000,30.14
IONS,2016-11-07,33.61,34.77,31.45,32.12,11749190,34.3,34.77,120920000,4064121200,23.88
